                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 2.2324,                 3.6983,                 2.4116,                0.62291,                 0.0811,                 0.0878,                0.04202,                 2.2629,                 3.4436,                 2.5641,               0.009208,               0.009208,               0.009208
                     82,                 2.2554,                 3.7225,                  2.425,                0.71167,                0.07122,                0.08652,                0.04249,                 2.2277,                 3.3479,                 2.5139,              0.0091981,              0.0091981,              0.0091981
                     83,                 2.1906,                 3.7505,                 2.4122,                0.69602,                0.07282,                0.08632,                 0.0436,                 2.1981,                 3.2822,                 2.4981,              0.0091882,              0.0091882,              0.0091882
                     84,                 2.1834,                 3.6924,                 2.3624,                0.54551,                0.10215,                0.09466,                0.04536,                 2.2548,                 3.4935,                 2.5362,              0.0091783,              0.0091783,              0.0091783
                     85,                 2.1759,                 3.6119,                 2.3709,                0.54847,                0.09387,                0.09212,                0.04275,                 2.1784,                 3.3384,                   2.49,              0.0091684,              0.0091684,              0.0091684
                     86,                 2.2101,                 3.6136,                 2.3632,                0.66765,                0.08916,                0.10375,                 0.0501,                 2.1531,                 3.2575,                 2.4738,              0.0091585,              0.0091585,              0.0091585
                     87,                 2.1167,                 3.6216,                 2.3564,                 0.6054,                0.09688,                0.10266,                0.05152,                 2.1347,                 3.2998,                 2.4524,              0.0091486,              0.0091486,              0.0091486
                     88,                 2.1599,                 3.5916,                 2.3326,                0.49075,                0.12342,                 0.1149,                0.05546,                 2.1169,                 3.1867,                 2.4104,              0.0091387,              0.0091387,              0.0091387
                     89,                 2.1434,                 3.6126,                  2.366,                 0.5303,                0.12947,                0.11986,                0.05997,                 2.1304,                 3.2101,                 2.4113,              0.0091288,              0.0091288,              0.0091288
                     90,                 2.1712,                 3.5567,                 2.3551,                0.55429,                0.11658,                0.11684,                0.05381,                 2.1714,                 3.1794,                 2.4236,              0.0091189,              0.0091189,              0.0091189
                     91,                 2.1261,                 3.6533,                 2.3329,                0.56814,                0.13575,                0.13446,                0.06892,                 2.0627,                 3.0774,                 2.3641,               0.009109,               0.009109,               0.009109
                     92,                 2.0891,                 3.4577,                 2.2718,                0.66627,                0.10278,                0.12943,                0.06633,                 2.0593,                 3.1435,                 2.3562,              0.0090991,              0.0090991,              0.0090991
                     93,                 2.1625,                 3.5848,                 2.3214,                0.53906,                0.11311,                0.13549,                0.07002,                 2.1312,                 3.0921,                 2.3724,              0.0090892,              0.0090892,              0.0090892
                     94,                 2.0883,                 3.5892,                 2.3246,                0.62672,                0.09376,                0.11854,                0.06325,                 2.0578,                 3.1923,                 2.3746,              0.0090793,              0.0090793,              0.0090793
                     95,                 2.0608,                 3.4986,                 2.2846,                0.64871,                0.13919,                0.14139,                0.07722,                 2.0535,                  3.035,                 2.3594,              0.0090694,              0.0090694,              0.0090694
                     96,                 2.1164,                  3.519,                 2.3076,                0.58631,                0.15125,                0.14392,                0.07669,                 2.0685,                 3.0209,                 2.3368,              0.0090595,              0.0090595,              0.0090595
                     97,                  2.107,                 3.5012,                 2.2664,                0.56136,                 0.1391,                0.13663,                0.06735,                 2.1031,                 3.0591,                 2.3396,              0.0090496,              0.0090496,              0.0090496
                     98,                 2.0446,                 3.5361,                  2.226,                0.70584,                0.12452,                0.14421,                0.07409,                 2.0675,                 2.9751,                 2.3407,              0.0090397,              0.0090397,              0.0090397
                     99,                 2.0846,                 3.4443,                 2.2725,                0.70981,                0.13281,                0.15306,                0.08398,                 2.0035,                 2.9323,                 2.2928,              0.0090298,              0.0090298,              0.0090298
                    100,                 2.0831,                 3.3247,                 2.2305,                 0.6185,                0.14703,                0.15225,                0.07706,                 2.0415,                 2.9455,                 2.3238,              0.0090199,              0.0090199,              0.0090199
                    101,                 2.0539,                 3.4396,                 2.2572,                0.62143,                0.10436,                 0.1287,                0.07054,                 2.0513,                 3.2111,                 2.3818,                0.00901,                0.00901,                0.00901
                    102,                 2.0135,                 3.3448,                 2.2296,                0.58095,                0.14554,                 0.1582,                0.08188,                 2.0031,                 3.0413,                 2.3115,              0.0090001,              0.0090001,              0.0090001
                    103,                 2.0915,                 3.2721,                 2.2516,                0.60222,                0.16298,                0.16011,                 0.0835,                 2.0313,                  3.039,                 2.3497,              0.0089902,              0.0089902,              0.0089902
                    104,                 2.0713,                 3.3214,                 2.2521,                0.56855,                0.17922,                0.18718,                0.09982,                 2.0112,                  3.026,                 2.2901,              0.0089803,              0.0089803,              0.0089803
                    105,                 2.0071,                 3.4047,                 2.2616,                0.59269,                0.16397,                0.16969,                0.08928,                 1.9725,                 3.0756,                 2.2833,              0.0089704,              0.0089704,              0.0089704
                    106,                 2.1039,                 3.3241,                 2.2235,                0.59488,                0.12465,                0.14399,                0.07281,                 2.0177,                 3.0443,                 2.3222,              0.0089605,              0.0089605,              0.0089605
                    107,                 2.0239,                  3.306,                 2.2166,                 0.6892,                0.15276,                 0.1704,                0.08955,                 2.0412,                   2.92,                 2.3486,              0.0089506,              0.0089506,              0.0089506
                    108,                 2.0217,                 3.3393,                 2.2301,                0.72135,                 0.1487,                0.19621,                 0.1078,                 1.9725,                 2.9094,                 2.2902,              0.0089407,              0.0089407,              0.0089407
                    109,                 2.0228,                 3.1913,                 2.2217,                 0.6168,                0.16314,                0.18701,                0.10362,                 1.9567,                 3.0913,                 2.2371,              0.0089308,              0.0089308,              0.0089308
                    110,                 1.9758,                 3.2005,                 2.1498,                0.60197,                0.17615,                0.20186,                0.11023,                 1.9618,                 2.9915,                  2.219,              0.0089209,              0.0089209,              0.0089209
                    111,                 1.9113,                 3.2238,                 2.1869,                0.69383,                0.15666,                0.19546,                0.10396,                 1.9528,                 2.8736,                 2.2138,               0.008911,               0.008911,               0.008911
                    112,                 2.0205,                 3.2809,                 2.2103,                0.49084,                0.23029,                 0.2038,                0.10464,                  1.956,                 2.7734,                  2.229,              0.0089011,              0.0089011,              0.0089011
                    113,                 1.9902,                 3.1817,                 2.1677,                0.60498,                0.19803,                0.21058,                0.11178,                 1.9397,                 2.7399,                 2.1963,              0.0088912,              0.0088912,              0.0088912
                    114,                 1.9835,                 3.1063,                 2.1698,                0.39867,                0.21938,                0.21658,                0.11317,                 1.9443,                 2.7194,                 2.2005,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.9645,                  3.147,                 2.1456,                0.52878,                0.21691,                0.22405,                0.11664,                 1.9496,                 2.8721,                 2.2054,              0.0088714,              0.0088714,              0.0088714
                    116,                 1.9514,                 3.1328,                 2.1622,                 0.5016,                0.19268,                0.20771,                0.10178,                 1.9975,                 2.9088,                 2.2438,              0.0088615,              0.0088615,              0.0088615
                    117,                 1.9669,                 3.2355,                 2.1606,                0.49965,                0.21356,                 0.2197,                0.11076,                 1.9676,                 2.7872,                 2.2078,              0.0088516,              0.0088516,              0.0088516
                    118,                 1.9226,                  3.111,                 2.1689,                0.41128,                0.25175,                0.24529,                0.12452,                 1.9251,                 2.7048,                 2.1839,              0.0088417,              0.0088417,              0.0088417
                    119,                 1.9256,                 3.2051,                 2.1625,                 0.5263,                0.20835,                0.23138,                0.12703,                 1.8896,                 2.6999,                 2.1698,              0.0088318,              0.0088318,              0.0088318
                    120,                 1.8929,                  3.131,                 2.1494,                0.45888,                0.24332,                0.23623,                0.13049,                 1.8876,                  2.716,                 2.1703,              0.0088219,              0.0088219,              0.0088219
                    121,                   1.92,                 3.1828,                 2.1396,                0.48867,                0.20913,                0.23787,                0.13501,                 1.8924,                 2.7505,                 2.1815,               0.008812,               0.008812,               0.008812
                    122,                 1.9709,                 3.0217,                 2.1647,                0.48744,                0.17253,                0.19256,                0.10306,                 1.9597,                 2.7668,                 2.2286,              0.0088021,              0.0088021,              0.0088021
                    123,                 1.9724,                 3.0467,                 2.1237,                0.42514,                0.28346,                0.27143,                0.15745,                 1.8555,                 2.5837,                 2.1447,              0.0087922,              0.0087922,              0.0087922
                    124,                 1.9278,                 3.1044,                 2.1116,                0.52062,                 0.2523,                0.28114,                 0.1642,                 1.8322,                  2.575,                  2.145,              0.0087823,              0.0087823,              0.0087823
                    125,                 1.9797,                 3.1275,                 2.1643,                0.48882,                0.25566,                0.26702,                0.15485,                 1.8379,                 2.5382,                 2.1414,              0.0087724,              0.0087724,              0.0087724
                    126,                 1.8822,                 3.1123,                 2.1313,                0.52437,                 0.2474,                0.26756,                0.15959,                 1.8046,                 2.5101,                 2.1259,              0.0087625,              0.0087625,              0.0087625
                    127,                 1.9453,                 3.0218,                  2.132,                0.49083,                0.22285,                0.25978,                0.15735,                 1.8618,                 2.5958,                 2.1619,              0.0087526,              0.0087526,              0.0087526
                    128,                 1.9209,                 2.8805,                 2.0768,                0.49269,                  0.241,                0.26061,                0.15859,                 1.8283,                 2.6208,                  2.138,              0.0087427,              0.0087427,              0.0087427
                    129,                 1.8828,                 3.0412,                 2.0799,                0.46734,                0.23561,                0.26618,                0.15829,                 1.8487,                 2.4902,                 2.1278,              0.0087328,              0.0087328,              0.0087328
                    130,                 1.8757,                 2.8975,                 2.0577,                0.45986,                0.26156,                 0.2693,                0.16395,                 1.8312,                 2.5507,                  2.122,              0.0087229,              0.0087229,              0.0087229
                    131,                 1.8961,                 2.9105,                 2.0762,                0.52669,                0.29256,                0.29487,                0.17712,                 1.8034,                 2.4574,                 2.0846,               0.008713,               0.008713,               0.008713
                    132,                  1.939,                 3.0036,                 2.1372,                0.48546,                0.30392,                0.28931,                0.17697,                 1.7911,                 2.4635,                 2.0905,              0.0087031,              0.0087031,              0.0087031
